City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tarakan,ID,79.56,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
1,Bourail,NC,78.73,overcast clouds,-21.5667,165.4833,Motel Allamanda
2,Hambantota,LK,75.76,clear sky,6.1241,81.1185,Bungalow 63
3,Poum,NC,80.33,overcast clouds,-20.2333,164.0167,Gîte kajeon
6,Tautira,PF,84.0,light rain,-17.7333,-149.15,Pension Oaoa
9,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
17,Atuona,PF,78.48,light rain,-9.8,-139.0333,Villa Enata
18,Hermanus,ZA,75.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
24,Kapaa,US,77.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Zabid,YE,75.25,clear sky,14.1951,43.3152,مغرب التريبه
29,Padang,ID,76.6,scattered clouds,-0.9492,100.3543,Mercure Padang
36,Port Alfred,ZA,75.6,overcast clouds,-33.5906,26.891,The Halyards Hotel
39,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
40,Port Moresby,PG,77.61,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
41,Kavaratti,IN,80.49,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
44,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
45,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,Faanui,PF,81.25,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Rikitea,PF,77.49,overcast clouds,-23.1203,-134.9692,People ThankYou
50,Palauig,PH,75.94,clear sky,15.435,119.9045,Alperi Botique Resort
51,Kudahuvadhoo,MV,82.71,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
54,Oliveira Dos Brejinhos,BR,78.21,broken clouds,-12.3169,-42.8961,Hotel Paraiso
55,Sibolga,ID,75.16,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
56,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
62,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Alappuzha,IN,78.67,few clouds,9.49,76.3264,Panoramic Sea Resort
69,Daru,PG,77.61,light rain,-9.0763,143.2092,Daru Lodge
70,Vanimo,PG,75.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
72,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
79,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
86,Kavieng,PG,80.31,moderate rain,-2.5744,150.7967,Nusa Island Retreat
93,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,San Patricio,US,75.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
99,Caravelas,BR,80.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
100,Vaini,TO,79.81,light rain,-21.2,-175.2,Keleti Beach Resort
105,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
108,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
111,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
112,Wukari,NG,75.4,clear sky,7.85,9.7833,Elimtop
117,Buala,SB,81.91,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
123,Gizo,SB,82.94,overcast clouds,-8.103,156.8419,Imagination Island
127,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
128,Butaritari,KI,81.34,light rain,3.0707,172.7902,Isles Sunset Lodge
130,Kombissiri,BF,75.34,clear sky,12.0656,-1.3375,Mitibkieta Annexe
132,Karratha,AU,81.91,light rain,-20.7377,116.8463,ibis Styles Karratha
137,East London,ZA,77.07,overcast clouds,-33.0153,27.9116,Tu Casa
141,Manokwari,ID,75.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
142,Sola,VU,81.84,moderate rain,-13.8833,167.55,Leumerus Bungalows
143,Byron Bay,AU,78.87,scattered clouds,-28.65,153.6167,Backpackers Inn
146,Loandjili,CG,79.61,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
152,Marechal Candido Rondon,BR,79.79,broken clouds,-24.5561,-54.0567,Hotel Bender
153,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
156,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
157,Hithadhoo,MV,82.4,scattered clouds,-0.6,73.0833,Scoop Guest House
159,Sinnamary,GF,78.35,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
161,Vao,NC,77.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
166,Carutapera,BR,77.4,overcast clouds,-1.195,-46.02,Lidera
174,Manta,EC,76.78,light rain,-0.95,-80.7333,Balandra Hotel
182,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
183,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Viedma,AR,79.93,scattered clouds,-40.8135,-62.9967,Hotel Cristal
195,Tecoanapa,MX,83.8,clear sky,16.5167,-98.75,Hotel Manglares
196,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
200,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
211,Axim,GH,78.89,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
212,Lubao,PH,77.14,scattered clouds,14.9167,120.55,Hacienda Gracia
214,San Policarpo,PH,78.31,broken clouds,12.1791,125.5072,Agapita M. Nicart
218,Maracaju,BR,83.62,broken clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
219,Batticaloa,LK,79.2,overcast clouds,7.7102,81.6924,Grand Star Guest House
233,Rio Das Ostras,BR,80.53,light rain,-22.5269,-41.945,Pousada Girassol
235,Itacare,BR,80.19,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
240,Chilca,PE,78.96,scattered clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
241,Trairi,BR,80.01,scattered clouds,-3.2778,-39.2689,janelas do mar
247,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
253,Kochi,IN,76.98,clear sky,9.9399,76.2602,Hotel Abad
255,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
263,Kulhudhuffushi,MV,81.72,clear sky,6.6221,73.07,Haajy Guest House 1
274,Kpandae,GH,82.83,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
276,Gold Coast,AU,81.37,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
281,Bowen,AU,79.99,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
286,Port Elizabeth,ZA,75.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
288,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
290,Majene,ID,77.16,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
291,Itarema,BR,80.8,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
295,Santo Domingo,DO,80.92,broken clouds,18.5001,-69.9886,Cabañas City Heart
299,Sao Gabriel Da Cachoeira,BR,82.87,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
302,Rawson,AR,76.21,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
303,Bintulu,MY,77.0,heavy intensity rain,3.1667,113.0333,900 Boutique INN
305,El Cobre,CU,78.24,scattered clouds,20.0489,-75.9469,Hotel El Cobre
307,Toamasina,MG,75.2,few clouds,-18.1667,49.3833,Hotel H1
308,Ballina,AU,76.78,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
309,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
310,Korampallam,IN,76.73,clear sky,8.7667,78.1,Regency Tuticorin by GRT Hotels
315,Jacareacanga,BR,80.69,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
318,Sorong,ID,79.54,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
323,Tibagi,BR,77.68,clear sky,-24.5094,-50.4136,Far View Inn
344,Guanica,PR,82.15,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
345,Phuket,TH,77.22,broken clouds,8.0,98.25,The Surin
347,Santa Helena,BR,78.58,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
348,Nhamunda,BR,83.21,broken clouds,-2.1861,-56.7131,Pousada Da Praia
349,Monrovia,LR,79.86,few clouds,6.3005,-10.7969,Sunset Inn
350,Sao Joao Da Barra,BR,82.49,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
353,Barra Do Corda,BR,78.42,few clouds,-5.5,-45.25,Belchior Palace Hotel
358,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
361,Namatanai,PG,79.39,light rain,-3.6667,152.4333,Seagulls Inn Namatani
388,Rio Grande,BR,78.91,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
400,Bodden Town,KY,77.0,scattered clouds,19.2833,-81.25,Will T Place
408,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
409,Richards Bay,ZA,75.99,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
417,Brightwater,NZ,77.86,overcast clouds,-41.3833,173.1167,Marama Vineyard & Accomodation
418,Lorengau,PG,77.58,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
420,Saquarema,BR,80.64,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
421,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
424,Vila Velha,BR,79.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
427,Santo Antonio Do Ica,BR,83.48,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
430,Leogane,HT,79.0,scattered clouds,18.5108,-72.6339,Family Health Ministries Guest House
431,Isangel,VU,80.71,moderate rain,-19.55,169.2667,Tanna Lodge
434,Sabang,ID,81.72,overcast clouds,5.8933,95.3214,Hotel Citra
435,Nanakuli,US,78.75,broken clouds,21.3906,-158.1547,Camp Pālehua
440,Alofi,NU,80.49,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
441,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
442,Mercedes,AR,80.85,clear sky,-34.6515,-59.4307,Posada del Inti Centro
443,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
446,Soyo,AO,79.09,overcast clouds,-6.1349,12.3689,Hotel Mpampa
450,Soure,BR,77.85,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
451,Mana,GF,79.3,overcast clouds,5.6592,-53.7767,LE SAMANA
456,Terra Boa,BR,80.55,clear sky,-23.7681,-52.4442,Hotel do Gaúcho
457,Oranjestad,AW,82.35,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
458,Chimbote,PE,75.09,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
461,Camopi,GF,75.09,broken clouds,3.1655,-52.3158,La pousada
463,Xai-Xai,MZ,75.61,broken clouds,-25.0519,33.6442,Complexo da Familia
469,Savannah Bight,HN,75.25,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
471,Kimbe,PG,76.75,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
475,Porto Velho,BR,75.25,overcast clouds,-8.7619,-63.9039,Hotel Central
478,Meulaboh,ID,77.23,scattered clouds,4.1363,96.1285,Kost Pria
483,Capao Da Canoa,BR,76.03,scattered clouds,-29.7456,-50.0097,Hotel Araçá
485,Humaita,BR,80.58,broken clouds,-7.5061,-63.0208,Corrêa Hotel
495,Hobyo,SO,77.83,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
497,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
503,Ho Chi Minh City,VN,77.02,scattered clouds,10.75,106.6667,Windsor Plaza Hotel
504,Mahina,PF,83.75,clear sky,-17.5065,-149.489,Guest Beach Bungalow Tahiti
509,Manoel Urbano,BR,81.75,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
511,Lima,PE,77.4,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
515,Antsohihy,MG,76.19,broken clouds,-14.8796,47.9875,Hotel de Ville
527,Mahibadhoo,MV,82.47,clear sky,3.7833,72.9667,Omadhoo Inn
529,Port Keats,AU,80.67,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
535,Lhokseumawe,ID,76.35,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
538,Inhambane,MZ,76.84,scattered clouds,-23.865,35.3833,Oceano
539,Pizarro,CO,79.88,overcast clouds,4.9533,-77.366,Hotel Limonar
540,Guaraniacu,BR,79.66,scattered clouds,-25.1008,-52.8781,Dalla´s Hotel
542,Mogadishu,SO,77.54,scattered clouds,2.0371,45.3438,Hotel Juba
544,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
546,Araguaina,BR,77.29,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
547,Cidreira,BR,77.32,scattered clouds,-30.1811,-50.2056,Hotel Castelo
552,Kamal,ID,78.69,overcast clouds,-7.1678,112.7192,Pondok AIN (Kost pria kamar mandi dalam)
554,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
555,Bandarbeyla,SO,76.69,scattered clouds,9.4942,50.8122,JABIR HOTEL
560,Pau Dos Ferros,BR,84.7,clear sky,-6.1125,-38.2063,Hertz Center Hotel
569,Yamoussoukro,CI,77.86,haze,6.8206,-5.2767,Residence Heaven
572,Joyabaj,GT,77.85,broken clouds,14.995,-90.8061,Hotel Villa Real
575,Waingapu,ID,77.88,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
586,Owando,CG,78.31,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
587,Port-Gentil,GA,80.33,light rain,-0.7193,8.7815,Fengshui Residence
588,Anloga,GH,80.82,broken clouds,5.7947,0.8973,Pin Drop Hotel
594,Tocache,PE,84.15,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
595,Djambala,CG,76.01,light rain,-2.5447,14.7533,Hotel Ravin D'or
600,Alta Floresta,BR,75.52,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
601,Biak,ID,75.69,broken clouds,-0.9131,122.8766,Penginapan Kim
605,Segou,ML,81.09,broken clouds,13.4317,-6.2157,Comme chez soi
607,Amahai,ID,78.8,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
610,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
612,Ponnani,IN,79.92,clear sky,10.767,75.9252,Rouba Residency
615,Ipixuna,BR,80.55,light rain,-1.7625,-48.8043,Casa da Oscarina
618,Boca Do Acre,BR,81.54,moderate rain,-8.7522,-67.3978,Hotel Sao Pedro
622,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
626,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
632,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
637,Nha Trang,VN,75.2,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
642,Makokou,GA,78.08,overcast clouds,0.5738,12.8642,Hôtel
651,Grand-Santi,GF,76.64,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
658,Gamboma,CG,81.36,broken clouds,-1.8764,15.8644,Residence N'Keni
661,Tual,ID,83.84,moderate rain,-5.6667,132.75,Grand Vilia Hotel
665,Tevaitoa,PF,81.01,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
677,Ternate,ID,79.16,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
